batch_id,tensile_strength_MPa,machine_temperature_C,cycle_time_sec,inter_failure_hours,defects_per_batch,surface_defects_per_m2,pass_fail,items_passed_per_lot50,sensor_voltage_V,raw_material_purity_pct,load_stress_MPa,humidity_pct
1,528.94,180.27,29.86,117.12,2,1,1,47,3.3632,99.051,293.51,40.76
2,517.51,183.99,4.02,9.28,4,1,1,49,3.7108,98.041,338.07,38.54
3,531.66,179.45,161.65,84.07,2,0,1,45,3.4365,98.826,288.55,46.17
4,547.41,182.84,32.84,24.2,2,1,1,48,3.6258,97.72,322.36,46.41
5,515.79,171.74,42.86,102.39,3,3,1,48,3.2886,97.139,277.01,49.94
6,515.79,186.49,12.15,121.74,1,1,0,47,3.6535,98.69,278.4,47.21
7,548.43,185.01,29.73,97.62,4,1,1,46,3.5294,98.622,320.62,49.47
8,533.81,179.28,25.23,160.86,1,1,1,48,3.3612,99.004,302.6,38.07
9,511.55,189.61,3.5,49.07,3,3,1,47,3.4967,98.54,284.29,53.76
10,529.77,191.56,5.05,173.83,2,4,1,46,3.6182,97.392,330.9,51.49
11,511.66,173.75,81.76,68.04,2,2,1,46,3.2071,99.133,318.17,42.35
12,511.62,179.66,12.34,79.44,5,4,1,50,3.5825,98.568,263.19,41.06
13,524.36,179.62,9.76,125.33,7,2,1,46,3.525,99.019,331.11,48.73
14,485.56,178.42,31.64,2.22,5,1,1,46,3.3322,98.935,286.59,37.19
15,488.95,190.81,65.89,127.36,4,2,1,47,3.6518,97.745,272.43,41.32
16,509.88,183.64,2.88,115.66,4,1,1,47,3.3821,97.186,291.95,39.86
17,501.77,183.15,38.7,44.5,2,0,1,44,3.3661,97.441,309.08,44.52
18,525.66,170.97,5.71,10.76,4,1,1,48,3.4827,97.232,311.7,42.78
19,503.66,189.45,1.67,11.44,3,5,1,50,3.6057,97.609,274.03,41.07
20,494.58,176.33,2.44,308.02,1,1,1,48,3.7573,98.149,278.91,40.58
21,546.38,185.42,80.85,140.26,2,2,0,50,3.2848,99.267,293.26,41.8
22,515.94,186.94,5.65,16.31,6,2,1,48,3.4379,99.18,294.67,39.05
23,521.22,194.52,2.08,52.94,4,3,0,47,3.2402,98.796,326.76,47.71
24,494.35,175.84,25.92,107.72,1,3,1,48,3.6551,97.06,300.91,50.63
25,510.2,163.86,83.6,216.63,2,1,1,47,3.4686,97.853,326.34,47.01
26,522.0,186.29,13.7,5.36,0,3,1,46,3.6242,98.706,334.11,51.91
27,499.28,197.6,24.65,32.4,1,1,1,48,3.3933,97.323,322.22,40.8
28,526.76,193.67,1.83,264.6,3,3,1,45,3.7066,99.003,242.37,41.26
29,509.19,186.47,26.83,1.1,2,5,1,49,3.5209,99.286,303.31,47.21
30,514.75,181.56,38.78,26.99,4,2,1,46,3.7662,97.885,306.34,47.86
31,509.17,190.65,38.07,383.37,3,1,1,46,3.2473,98.765,308.8,45.08
32,553.34,178.19,18.18,114.04,3,0,1,48,3.5086,97.371,264.19,44.88
33,519.76,188.33,17.06,36.4,6,1,1,48,3.6599,98.727,293.19,39.67
34,500.96,188.54,5.07,8.32,2,3,1,48,3.5601,97.054,280.03,31.7
35,534.81,192.42,20.56,3.43,6,4,1,46,3.2139,97.377,289.62,47.79
36,498.02,204.32,4.72,33.68,1,1,1,46,3.7834,98.775,304.31,49.91
37,523.76,187.75,65.47,255.93,4,4,1,48,3.379,98.78,293.69,42.82
38,484.73,181.44,152.53,64.52,1,2,1,47,3.3496,98.603,291.23,42.24
39,496.09,184.82,157.91,152.9,4,0,1,49,3.4914,98.193,305.64,41.71
40,523.54,172.62,90.14,300.54,4,3,1,48,3.5253,98.687,299.17,43.12
41,533.29,180.14,41.32,62.92,4,0,1,42,3.6598,98.935,314.39,50.03
42,523.08,182.14,54.31,25.48,1,3,1,49,3.436,99.416,300.76,40.33
43,517.92,181.33,15.11,87.36,4,2,1,45,3.464,99.222,275.51,48.23
44,514.58,186.07,44.84,286.43,4,5,1,46,3.521,98.986,287.32,42.51
45,493.39,179.24,27.37,195.79,1,4,1,44,3.4366,98.737,302.78,35.03
46,507.04,192.85,29.6,8.17,2,2,1,49,3.7487,98.435,300.14,43.28
47,511.71,185.0,63.81,141.54,2,3,1,49,3.7108,97.302,278.9,53.2
48,539.03,184.93,14.9,101.81,2,1,1,50,3.473,97.414,324.88,41.57
49,526.19,182.7,17.23,285.62,4,2,1,47,3.2001,99.051,316.87,43.81
50,488.27,186.09,116.35,15.68,0,1,1,47,3.7406,99.008,296.78,45.04
51,525.83,190.78,2.6,91.64,2,5,1,49,3.2746,98.536,306.4,45.99
52,513.07,178.93,29.92,253.9,2,1,1,46,3.3467,98.097,286.42,52.71
53,507.82,180.39,109.78,63.32,3,1,0,48,3.2914,97.065,328.77,41.04
54,531.01,182.87,42.41,78.93,2,1,1,49,3.3079,97.818,355.52,45.05
55,538.56,175.58,35.57,8.77,0,1,1,48,3.6817,98.052,295.82,48.79
56,536.76,179.27,12.93,39.11,3,0,1,49,3.5477,98.215,336.93,41.43
57,504.89,181.67,18.92,47.08,5,2,1,49,3.7737,99.323,291.06,45.37
58,514.43,191.12,85.99,348.32,4,1,1,48,3.3389,97.272,298.3,49.91
59,525.96,186.84,36.86,39.87,4,3,1,46,3.4914,98.297,341.54,42.4
60,537.56,186.36,32.54,74.14,3,2,1,46,3.7865,97.92,307.36,44.13
61,511.37,190.96,4.72,133.51,2,2,1,48,3.6959,99.475,325.11,39.24
62,516.66,184.04,0.73,21.23,2,2,1,47,3.6372,99.155,304.07,49.73
63,500.09,187.73,149.2,79.97,2,1,1,47,3.3134,98.097,270.34,45.79
64,498.47,184.28,21.29,160.98,2,0,1,48,3.6616,99.499,361.42,42.87
65,534.63,186.86,41.6,241.96,4,1,1,47,3.4085,98.285,305.23,43.46
66,544.41,180.92,3.74,118.1,3,2,0,47,3.5183,97.418,313.43,44.95
67,518.7,167.93,51.71,132.7,3,0,1,47,3.5655,98.39,293.88,46.67
68,538.06,184.06,121.35,16.2,5,4,1,47,3.5656,97.566,327.16,41.74
69,526.51,194.96,38.58,349.76,3,1,1,47,3.6359,98.591,325.54,42.13
70,508.39,191.48,6.07,17.07,5,3,1,48,3.597,99.344,275.74,43.68
71,526.51,191.76,39.22,178.82,5,3,1,46,3.241,98.965,313.76,45.76
72,547.68,193.65,65.43,36.92,2,1,1,49,3.4744,97.683,329.3,53.03
73,519.36,185.62,23.47,325.43,0,1,1,46,3.5984,97.742,336.41,40.99
74,548.16,186.38,95.35,152.74,4,1,1,48,3.3776,97.173,324.22,36.74
75,472.84,180.68,47.07,168.2,3,3,1,49,3.3878,97.715,326.16,52.0
76,534.79,182.79,103.28,29.67,2,1,1,47,3.2747,97.232,298.12,40.61
77,521.57,189.31,43.96,70.23,4,2,1,48,3.4512,98.249,282.96,52.34
78,514.62,193.43,6.33,115.42,0,0,1,46,3.7921,98.771,303.16,51.22
79,521.65,184.02,16.68,176.35,1,1,1,48,3.3712,98.878,282.46,47.72
80,484.22,181.85,10.14,13.17,2,3,0,47,3.5189,97.149,293.74,51.08
81,516.05,185.0,107.77,393.58,2,2,1,48,3.6459,97.85,293.41,35.84
82,526.43,189.21,64.3,265.11,2,3,1,49,3.2081,97.72,289.3,38.24
83,546.6,174.89,50.77,37.82,4,2,1,48,3.7403,97.261,321.71,46.42
84,510.67,168.93,16.11,207.63,5,1,1,47,3.4319,97.906,287.72,43.07
85,505.45,181.15,9.15,87.66,0,1,1,47,3.7215,97.748,350.38,41.07
86,510.97,176.46,63.56,74.34,0,2,1,47,3.2234,98.586,331.76,49.04
87,536.48,181.44,28.92,45.3,2,1,1,44,3.2874,99.208,336.17,46.29
88,525.92,183.97,11.52,104.38,3,2,1,47,3.3935,98.137,294.84,50.25
89,510.46,181.83,43.14,157.07,1,1,1,45,3.4073,98.867,314.41,43.14
90,529.24,195.17,1.85,63.51,2,5,1,49,3.7087,97.365,287.06,44.92
91,521.75,187.29,17.77,119.06,1,1,1,50,3.2067,99.237,314.78,52.7
92,537.44,187.1,28.45,144.2,2,2,1,48,3.5847,97.381,271.11,38.58
93,507.36,189.36,7.21,149.01,1,5,1,49,3.2788,97.48,333.37,44.57
94,514.1,177.03,187.96,6.4,3,2,1,48,3.6939,97.266,295.81,40.63
95,512.94,192.27,10.56,235.72,6,0,1,48,3.6671,97.774,316.66,53.48
96,493.66,184.47,6.29,73.55,4,3,1,47,3.5,98.381,320.75,57.03
97,525.33,189.69,10.24,36.53,2,2,1,47,3.3276,99.47,297.81,46.05
98,524.7,177.5,65.95,33.21,2,1,1,44,3.5807,98.983,292.44,47.46
99,520.09,174.12,24.94,79.17,0,0,1,46,3.2938,97.951,307.36,44.48
100,515.78,190.73,37.5,261.47,2,1,1,49,3.314,98.44,327.67,44.29
101,494.52,187.63,0.96,57.04,2,3,1,48,3.576,98.558,306.77,45.42
102,512.43,178.69,1.58,166.22,0,3,1,49,3.7947,99.057,323.27,38.26
103,513.83,178.91,26.56,12.22,3,2,1,49,3.7346,98.841,327.47,48.3
104,505.56,192.88,76.34,77.56,2,0,1,47,3.5559,98.423,305.77,40.07
105,517.1,176.67,97.42,574.78,2,2,1,47,3.5231,98.673,307.52,43.23
106,527.27,196.5,4.08,176.59,3,1,1,49,3.799,98.865,313.05,45.17
107,553.95,178.7,34.78,28.37,1,3,1,47,3.5284,97.333,335.13,41.19
108,523.14,189.47,110.0,83.52,7,0,1,47,3.4521,97.501,302.45,47.99
109,524.64,182.7,22.09,31.93,3,1,1,50,3.7457,98.721,335.03,42.62
110,518.66,189.22,79.62,63.23,5,3,1,48,3.3405,99.126,315.61,50.33
111,485.46,181.19,6.46,181.74,1,2,1,46,3.2585,98.023,293.79,40.64
112,519.52,183.86,123.28,177.0,4,2,1,48,3.5805,99.45,309.08,44.17
113,521.08,185.29,62.64,31.07,1,2,1,48,3.2575,97.54,285.35,39.64
114,564.34,177.98,127.62,306.47,2,1,1,49,3.4239,98.042,280.39,49.91
115,516.54,190.19,50.8,107.75,1,1,1,49,3.4541,97.946,323.35,43.45
