InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26,2.75,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34,2.1,13047,United Kingdom
536368,22960,JAM MAKING SET,6,2010-12-01 08:35,3.75,13047,United Kingdom
536368,21756,BATH BUILDING BLOCK WORD,3,2010-12-01 08:35,5.95,13047,United Kingdom
536369,21777,RECIPE BOX WITH METAL HEART,6,2010-12-01 08:45,2.95,12583,United Kingdom
536370,22752,SET OF 6 SPICE TINS PANTRY DESIGN,2,2010-12-01 09:00,4.25,13748,United Kingdom
